distorted,psnr_y,ssim_y,ms_ssim,vmaf,lpips,erqa,path,psnr_u,psnr_v,psnr_avg,ssim_u,ssim_v,ssim_all,vmaf_mean,vmaf_harmonic_mean,lpips_min,lpips_max,lpips_p50,lpips_p95,lpips_label,erqa_min,erqa_max,erqa_p50,erqa_p95,erqa_label,warnings,errors
v-beauty-360p-24fps-bicubic,27.41285714285714,0.842371,0.901448,48.214,0.312447,0.521883,C:\Users\adri1\tests\beauty\v-beauty-360p-24fps-bicubic.mp4,36.118,36.441,33.324,0.9612,0.9641,0.8892,48.214,47.031,0.241,0.448,0.309,0.401,lpips-vgg,0.401,0.662,0.518,0.611,erqa,[],[]
v-beauty-360p-24fps-lanczos,28.10428571428571,0.851204,0.910662,51.638,0.288104,0.548219,C:\Users\adri1\tests\beauty\v-beauty-360p-24fps-lanczos.mp4,36.552,36.871,33.842,0.9638,0.9664,0.8969,51.638,50.412,0.221,0.419,0.284,0.377,lpips-vgg,0.428,0.681,0.544,0.632,erqa,[],[]
v-beauty-360p-24fps-vsr,31.84714285714286,0.901338,0.945107,68.412,0.181226,0.672441,C:\Users\adri1\tests\beauty\v-beauty-360p-24fps-vsr.mp4,38.104,38.442,36.131,0.9721,0.9744,0.9328,68.412,67.108,0.129,0.274,0.176,0.241,lpips-vgg,0.551,0.782,0.669,0.741,erqa,[],[]
v-beauty-480p-24fps-bicubic,29.226,0.871449,0.922018,56.337,0.254118,0.588662,C:\Users\adri1\tests\beauty\v-beauty-480p-24fps-bicubic.mp4,37.018,37.334,34.526,0.9664,0.9688,0.9088,56.337,55.214,0.188,0.366,0.249,0.331,lpips-vgg,0.472,0.701,0.581,0.662,erqa,[],[]
v-beauty-480p-24fps-lanczos,29.884,0.879102,0.928441,59.104,0.236552,0.609118,C:\Users\adri1\tests\beauty\v-beauty-480p-24fps-lanczos.mp4,37.441,37.762,35.029,0.9681,0.9704,0.9152,59.104,57.882,0.171,0.348,0.231,0.312,lpips-vgg,0.498,0.722,0.604,0.681,erqa,[],[]
v-beauty-480p-24fps-vsr,33.218,0.921774,0.956882,74.661,0.148339,0.721004,C:\Users\adri1\tests\beauty\v-beauty-480p-24fps-vsr.mp4,39.012,39.338,37.189,0.9766,0.9782,0.9461,74.661,73.448,0.102,0.229,0.144,0.198,lpips-vgg,0.601,0.812,0.718,0.781,erqa,['short clip: 48 frames'],[]
v-beauty-1080p-24fps-bicubic,34.118,0.941226,0.968441,76.812,0.122447,0.781226,C:\Users\adri1\tests\beauty\v-beauty-1080p-24fps-bicubic.mp4,40.114,40.448,38.227,0.9812,0.9826,0.9614,76.812,75.661,0.081,0.188,0.118,0.164,lpips-vgg,0.662,0.851,0.778,0.831,erqa,[],[]
v-beauty-1080p-24fps-lanczos,34.862,0.948118,0.972662,79.104,0.108226,0.802441,C:\Users\adri1\tests\beauty\v-beauty-1080p-24fps-lanczos.mp4,40.552,40.881,38.765,0.9828,0.9841,0.9658,79.104,77.912,0.072,0.171,0.104,0.148,lpips-vgg,0.688,0.871,0.799,0.848,erqa,[],[]
v-beauty-1080p-24fps-vsr,13.41857142857143,0.412226,0.501118,27.331,0.612447,0.301226,C:\Users\adri1\tests\beauty\v-beauty-1080p-24fps-vsr.mp4,18.104,18.442,16.655,0.5512,0.5621,0.4488,27.331,24.118,0.448,0.812,0.601,0.771,lpips-vgg,0.188,0.448,0.294,0.401,erqa,['possible failed reconstruction'],[]
v-beauty-2160p-24fps-vsr,,,,,,,C:\Users\adri1\tests\beauty\v-beauty-2160p-24fps-vsr.mp4,,,,,,,,,,,,,,,,,,,[],['resolution mismatch: distorted 1920x1080 vs reference 3840x2160; PSNR/SSIM/LPIPS/ERQA skipped']
